id	q_name	q_size_v	q_start_v	q_end_v	t_name_v	t_size_v	t_start_v	t_end_v	strand_v	local_identity_v	global_identity_v	cigar_v	q_size_h	q_start_h	q_end_h	t_name_h	t_size_h	t_start_h	t_end_h	strand_h	local_identity_h	global_identity_h	cigar_h	type	insert_len	read_type	pos_h	pos_v
10	SRR16230416.11351141	150	1	52	46bg-gfp	19984	10597	10648	+	1	0.35	52M98S	150	49	150	Chr4	35502694	19217323	19217424	+	0.98	0.67	48S102M	microhomology	-3	R2	19217323	10648
11	SRR16230416.19761883	150	56	150	46bg-gfp	19984	10554	10648	-	1	0.63	95M55S	150	1	59	Chr4	35502694	19217323	19217381	-	0.97	0.38	91S59M	microhomology	-3	R2	19217323	10648
12	SRR16230416.21672534	150	1	50	46bg-gfp	19984	10599	10648	+	1	0.33	50M100S	150	47	150	Chr4	35502694	19217323	19217426	+	0.98	0.68	46S104M	microhomology	-3	R2	19217323	10648
13	SRR16230416.45879315	150	56	150	46bg-gfp	19984	10554	10648	-	0.99	0.63	95M55S	150	1	59	Chr4	35502694	19217323	19217381	-	0.97	0.38	91S59M	microhomology	-3	R2	19217323	10648
14	SRR16230416.10707963	150	1	93	46bg-gfp	19984	10989	11081	+	1	0.62	93M57S	150	92	150	Chr4	35502694	19217323	19217381	+	0.97	0.38	91S59M	microhomology	-1	R1	19217323	11081
15	SRR16230416.11497447	150	106	150	46bg-gfp	19984	11037	11081	-	1	0.3	45M105S	150	1	107	Chr4	35502694	19217323	19217429	-	0.98	0.7	43S107M	microhomology	-1	R1	19217323	11081
16	SRR16230416.13475028	150	84	150	46bg-gfp	19984	11015	11081	-	1	0.45	67M83S	150	1	85	Chr4	35502694	19217323	19217407	-	0.98	0.55	65S85M	microhomology	-1	R1	19217323	11081
17	SRR16230416.15984101	150	1	79	46bg-gfp	19984	11003	11081	+	1	0.53	79M71S	150	78	150	Chr4	35502694	19217323	19217395	+	0.97	0.47	77S73M	microhomology	-1	R1	19217323	11081
18	SRR16230416.21141353	150	1	58	46bg-gfp	19984	11024	11081	+	1	0.39	58M92S	150	57	150	Chr4	35502694	19217323	19217416	+	0.98	0.61	56S94M	microhomology	-1	R1	19217323	11081
19	SRR16230416.21837224	150	112	150	46bg-gfp	19984	11043	11081	-	1	0.26	39M111S	150	1	113	Chr4	35502694	19217323	19217435	-	0.97	0.73	37S113M	microhomology	-1	R1	19217323	11081
20	SRR16230416.25994906	150	52	150	46bg-gfp	19984	10983	11081	-	1	0.66	99M51S	150	1	53	Chr4	35502694	19217323	19217375	-	0.96	0.34	97S53M	microhomology	-1	R1	19217323	11081
21	SRR16230416.31469531	150	1	73	46bg-gfp	19984	11009	11081	+	1	0.49	73M77S	150	72	150	Chr4	35502694	19217323	19217401	+	0.97	0.51	71S79M	microhomology	-1	R1	19217323	11081
22	SRR16230416.45730156	150	1	46	46bg-gfp	19984	11036	11081	+	1	0.31	46M104S	150	45	150	Chr4	35502694	19217323	19217428	+	0.98	0.69	44S106M	microhomology	-1	R1	19217323	11081
23	SRR16230416.2364224	150	1	41	46bg-gfp	19984	11041	11081	+	1	0.27	41M109S	150	40	150	Chr4	35502694	19217323	19217433	+	0.97	0.72	39S111M	microhomology	-1	R2	19217323	11081
24	SRR16230416.2381182	150	1	41	46bg-gfp	19984	11041	11081	+	1	0.27	41M109S	150	40	150	Chr4	35502694	19217323	19217433	+	0.98	0.73	39S111M	microhomology	-1	R2	19217323	11081
25	SRR16230416.11364181	150	1	69	46bg-gfp	19984	11013	11081	+	1	0.46	69M81S	150	68	150	Chr4	35502694	19217323	19217405	+	0.96	0.53	67S83M	microhomology	-1	R2	19217323	11081
26	SRR16230416.11366616	150	1	69	46bg-gfp	19984	11013	11081	+	1	0.46	69M81S	150	68	150	Chr4	35502694	19217323	19217405	+	0.98	0.54	67S83M	microhomology	-1	R2	19217323	11081
27	SRR16230416.13623435	150	1	43	46bg-gfp	19984	11039	11081	+	1	0.29	43M107S	150	42	150	Chr4	35502694	19217323	19217431	+	0.98	0.71	41S109M	microhomology	-1	R2	19217323	11081
28	SRR16230416.19372235	150	1	83	46bg-gfp	19984	10999	11081	+	1	0.55	83M67S	150	82	150	Chr4	35502694	19217323	19217391	+	0.97	0.45	81S69M	microhomology	-1	R2	19217323	11081
29	SRR16230416.19548725	150	60	150	46bg-gfp	19984	10991	11081	-	1	0.61	91M59S	150	1	61	Chr4	35502694	19217323	19217383	-	0.97	0.39	89S61M	microhomology	-1	R2	19217323	11081
30	SRR16230416.20437878	150	42	150	46bg-gfp	19984	10973	11081	-	1	0.73	109M41S	150	1	43	Chr4	35502694	19217323	19217365	-	0.95	0.27	107S43M	microhomology	-1	R2	19217323	11081
31	SRR16230416.34714722	150	102	150	46bg-gfp	19984	11033	11081	-	1	0.33	49M101S	150	1	103	Chr4	35502694	19217323	19217425	-	0.98	0.67	47S103M	microhomology	-1	R2	19217323	11081
32	SRR16230416.40044921	150	53	150	46bg-gfp	19984	10984	11081	-	1	0.65	98M52S	150	1	54	Chr4	35502694	19217323	19217376	-	0.96	0.35	96S54M	microhomology	-1	R2	19217323	11081
33	SRR16230416.41325182	150	69	150	46bg-gfp	19984	11000	11081	-	1	0.55	82M68S	150	1	70	Chr4	35502694	19217323	19217392	-	0.97	0.45	80S70M	microhomology	-1	R2	19217323	11081
34	SRR16230416.42580205	150	86	150	46bg-gfp	19984	11017	11081	-	1	0.43	65M85S	150	1	87	Chr4	35502694	19217323	19217409	-	0.98	0.57	63S87M	microhomology	-1	R2	19217323	11081
35	SRR16230416.49098946	150	69	150	46bg-gfp	19984	11000	11081	-	0.99	0.54	82M68S	150	1	70	Chr4	35502694	19217323	19217392	-	0.97	0.45	80S70M	microhomology	-1	R2	19217323	11081
36	SRR16230416.49824329	150	1	59	46bg-gfp	19984	11023	11081	+	1	0.39	59M91S	150	58	150	Chr4	35502694	19217323	19217415	+	0.98	0.61	57S93M	microhomology	-1	R2	19217323	11081
37	SRR16230416.13179976	150	1	83	46bg-gfp	19984	10999	11081	+	1	0.55	83M67S	150	89	150	Chr4	35502694	19217330	19217391	+	0.98	0.41	88S62M	filler	6	R1	19217330	11081
38	SRR16230416.12897179	150	100	150	46bg-gfp	19984	2325	2375	-	1	0.34	51M99S	150	1	93	Chr4	35502694	24918779	24918871	+	1	0.62	93M57S	filler	7	R1	24918871	2375
39	SRR16230416.17701575	150	1	34	46bg-gfp	19984	2342	2375	+	1	0.23	34M116S	150	41	150	Chr4	35502694	24918762	24918871	-	1	0.73	110M40S	filler	7	R1	24918871	2375
40	SRR16230416.40121511	150	92	150	46bg-gfp	19984	2317	2375	-	1	0.39	59M91S	150	1	85	Chr4	35502694	24918787	24918871	+	1	0.57	85M65S	filler	7	R1	24918871	2375
41	SRR16230416.47745074	150	1	95	46bg-gfp	19984	2281	2375	+	1	0.63	95M55S	150	102	150	Chr4	35502694	24918823	24918871	-	1	0.33	49M101S	filler	7	R1	24918871	2375
42	SRR16230416.10427602	150	1	40	46bg-gfp	19984	2336	2375	+	1	0.27	40M110S	150	47	150	Chr4	35502694	24918768	24918871	-	1	0.69	104M46S	filler	7	R2	24918871	2375
43	SRR16230416.22047121	150	87	150	46bg-gfp	19984	2312	2375	-	0.97	0.41	64M86S	150	1	80	Chr4	35502694	24918792	24918871	+	1	0.53	80M70S	filler	7	R2	24918871	2375
44	SRR16230416.28427597	150	84	150	46bg-gfp	19984	2309	2375	-	0.99	0.44	67M83S	150	1	77	Chr4	35502694	24918795	24918871	+	1	0.51	77M73S	filler	7	R2	24918871	2375
45	SRR16230416.47745074	150	72	150	46bg-gfp	19984	2297	2375	-	1	0.53	79M71S	150	1	65	Chr4	35502694	24918807	24918871	+	1	0.43	65M85S	filler	7	R2	24918871	2375
46	SRR16230416.6149524	150	1	57	46bg-gfp	19984	14789	14845	+	1	0.38	57M93S	150	65	150	Chr4	35502694	24918913	24918998	+	1	0.57	64S86M	filler	8	R1	24918913	14845
47	SRR16230416.29755821	150	1	38	46bg-gfp	19984	14808	14845	+	1	0.25	38M112S	150	46	150	Chr4	35502694	24918913	24919017	+	1	0.7	45S105M	filler	8	R1	24918913	14845
48	SRR16230416.31581651	150	1	46	46bg-gfp	19984	14800	14845	+	1	0.31	46M104S	150	54	150	Chr4	35502694	24918913	24919009	+	1	0.65	53S97M	filler	8	R1	24918913	14845
49	SRR16230416.36124735	150	89	150	46bg-gfp	19984	14784	14845	-	1	0.41	62M88S	150	1	81	Chr4	35502694	24918913	24918993	-	1	0.54	69S81M	filler	8	R1	24918913	14845
50	SRR16230416.39881150	150	1	111	46bg-gfp	19984	14735	14845	+	1	0.74	111M39S	150	119	150	Chr4	35502694	24918913	24918944	+	1	0.21	118S32M	filler	8	R1	24918913	14845
51	SRR16230416.1798168	150	1	76	46bg-gfp	19984	14770	14845	+	1	0.51	76M74S	150	84	150	Chr4	35502694	24918913	24918979	+	1	0.45	83S67M	filler	8	R2	24918913	14845
52	SRR16230416.2156561	150	1	42	46bg-gfp	19984	14804	14845	+	1	0.28	42M108S	150	50	150	Chr4	35502694	24918913	24919013	+	1	0.67	49S101M	filler	8	R2	24918913	14845
53	SRR16230416.18465331	150	1	92	46bg-gfp	19984	14754	14845	+	1	0.61	92M58S	150	100	150	Chr4	35502694	24918913	24918963	+	1	0.34	99S51M	filler	8	R2	24918913	14845
54	SRR16230416.28387955	150	1	34	46bg-gfp	19984	14812	14845	+	1	0.23	34M116S	150	42	150	Chr4	35502694	24918913	24919021	+	1	0.73	41S109M	filler	8	R2	24918913	14845
55	SRR16230416.39881150	150	81	150	46bg-gfp	19984	14776	14845	-	1	0.47	70M80S	150	1	73	Chr4	35502694	24918913	24918985	-	1	0.49	77S73M	filler	8	R2	24918913	14845
56	SRR16230416.40793646	150	93	150	46bg-gfp	19984	14788	14845	-	1	0.39	58M92S	150	1	85	Chr4	35502694	24918913	24918997	-	1	0.57	65S85M	filler	8	R2	24918913	14845
57	SRR16230416.44269823	150	1	99	46bg-gfp	19984	14747	14845	+	1	0.66	99M51S	150	107	150	Chr4	35502694	24918913	24918956	+	1	0.29	106S44M	filler	8	R2	24918913	14845
58	SRR16230416.36508630	150	1	106	46bg-gfp	19984	12860	12965	-	1	0.71	44S106M	150	110	150	Chr4	35502694	29927536	29927576	-	0.95	0.26	41M109S	filler	4	R1	29927576	12860
